Año,Provincia,Distrito,Mes,Día,Min,Max
2020,BARRANCA,BARRANCA,enero,01,18 °C,24 °C
2020,BARRANCA,BARRANCA,enero,08,19 °C,24 °C
2020,BARRANCA,BARRANCA,enero,15,20 °C,24 °C
2020,BARRANCA,BARRANCA,enero,22,20 °C,24 °C
2020,BARRANCA,BARRANCA,enero,31,20 °C,25 °C
2020,BARRANCA,BARRANCA,febrero,01,20 °C,24 °C
2020,BARRANCA,BARRANCA,febrero,08,20 °C,24 °C
2020,BARRANCA,BARRANCA,febrero,15,21 °C,25 °C
2020,BARRANCA,BARRANCA,febrero,22,21 °C,25 °C
2020,BARRANCA,BARRANCA,febrero,29,21 °C,27 °C
2020,BARRANCA,BARRANCA,marzo,01,21 °C,24 °C
2020,BARRANCA,BARRANCA,marzo,08,21 °C,28 °C
2020,BARRANCA,BARRANCA,marzo,15,21 °C,25 °C
2020,BARRANCA,BARRANCA,marzo,22,21 °C,27 °C
2020,BARRANCA,BARRANCA,marzo,31,19 °C,26 °C
2020,BARRANCA,BARRANCA,abril,01,19 °C,26 °C
2020,BARRANCA,BARRANCA,abril,08,20 °C,24 °C
2020,BARRANCA,BARRANCA,abril,15,20 °C,26 °C
2020,BARRANCA,BARRANCA,abril,22,17 °C,23 °C
2020,BARRANCA,BARRANCA,abril,30,16 °C,24 °C
2020,BARRANCA,BARRANCA,mayo,01,18 °C,24 °C
2020,BARRANCA,BARRANCA,mayo,08,18 °C,24 °C
2020,BARRANCA,BARRANCA,mayo,15,17 °C,21 °C
2020,BARRANCA,BARRANCA,mayo,22,15 °C,20 °C
2020,BARRANCA,BARRANCA,mayo,31,15 °C,21 °C
2020,BARRANCA,BARRANCA,junio,01,,21 °C
2020,BARRANCA,BARRANCA,junio,08,16 °C,21 °C
2020,BARRANCA,BARRANCA,junio,15,14 °C,20 °C
2020,BARRANCA,BARRANCA,junio,22,14 °C,19 °C
2020,BARRANCA,BARRANCA,junio,30,16 °C,19 °C
2020,BARRANCA,BARRANCA,julio,01,14 °C,21 °C
2020,BARRANCA,BARRANCA,julio,08,14 °C,17 °C
2020,BARRANCA,BARRANCA,julio,15,15 °C,19 °C
2020,BARRANCA,BARRANCA,julio,22,13 °C,18 °C
2020,BARRANCA,BARRANCA,julio,31,14 °C,19 °C
2020,BARRANCA,BARRANCA,agosto,01,14 °C,19 °C
2020,BARRANCA,BARRANCA,agosto,08,13 °C,20 °C
2020,BARRANCA,BARRANCA,agosto,15,14 °C,17 °C
2020,BARRANCA,BARRANCA,agosto,22,15 °C,18 °C
2020,BARRANCA,BARRANCA,agosto,31,15 °C,17 °C
2020,BARRANCA,BARRANCA,septiembre,01,14 °C,17 °C
2020,BARRANCA,BARRANCA,septiembre,08,15 °C,19 °C
2020,BARRANCA,BARRANCA,septiembre,15,14 °C,19 °C
2020,BARRANCA,BARRANCA,septiembre,22,14 °C,20 °C
2020,BARRANCA,BARRANCA,septiembre,30,15 °C,19 °C
2020,BARRANCA,BARRANCA,octubre,01,15 °C,20 °C
2020,BARRANCA,BARRANCA,octubre,08,14 °C,20 °C
2020,BARRANCA,BARRANCA,octubre,15,15 °C,21 °C
2020,BARRANCA,BARRANCA,octubre,22,14 °C,19 °C
2020,BARRANCA,BARRANCA,octubre,31,15 °C,17 °C
2020,BARRANCA,BARRANCA,noviembre,01,14 °C,18 °C
2020,BARRANCA,BARRANCA,noviembre,08,14 °C,20 °C
2020,BARRANCA,BARRANCA,noviembre,15,15 °C,20 °C
2020,BARRANCA,BARRANCA,noviembre,22,15 °C,20 °C
2020,BARRANCA,BARRANCA,noviembre,30,17 °C,21 °C
2020,BARRANCA,BARRANCA,diciembre,01,17 °C,21 °C
2020,BARRANCA,BARRANCA,diciembre,08,17 °C,21 °C
2020,BARRANCA,BARRANCA,diciembre,15,16 °C,22 °C
2020,BARRANCA,BARRANCA,diciembre,22,17 °C,21 °C
2020,BARRANCA,BARRANCA,diciembre,31,18 °C,22 °C
2021,BARRANCA,BARRANCA,enero,01,17 °C,24 °C
2021,BARRANCA,BARRANCA,enero,08,19 °C,24 °C
2021,BARRANCA,BARRANCA,enero,15,19 °C,21 °C
2021,BARRANCA,BARRANCA,enero,22,18 °C,24 °C
2021,BARRANCA,BARRANCA,enero,31,19 °C,23 °C
2021,BARRANCA,BARRANCA,febrero,01,19 °C,22 °C
2021,BARRANCA,BARRANCA,febrero,08,20 °C,26 °C
2021,BARRANCA,BARRANCA,febrero,15,20 °C,25 °C
2021,BARRANCA,BARRANCA,febrero,22,19 °C,25 °C
2021,BARRANCA,BARRANCA,febrero,28,20 °C,25 °C
2021,BARRANCA,BARRANCA,marzo,01,20 °C,27 °C
2021,BARRANCA,BARRANCA,marzo,08,20 °C,27 °C
2021,BARRANCA,BARRANCA,marzo,15,20 °C,26 °C
2021,BARRANCA,BARRANCA,marzo,22,21 °C,27 °C
2021,BARRANCA,BARRANCA,marzo,31,19 °C,24 °C
2021,BARRANCA,BARRANCA,abril,01,18 °C,24 °C
2021,BARRANCA,BARRANCA,abril,08,18 °C,23 °C
2021,BARRANCA,BARRANCA,abril,15,18 °C,23 °C
2021,BARRANCA,BARRANCA,abril,22,18 °C,21 °C
2021,BARRANCA,BARRANCA,abril,30,17 °C,21 °C
2021,BARRANCA,BARRANCA,mayo,01,17 °C,22 °C
2021,BARRANCA,BARRANCA,mayo,08,16 °C,21 °C
2021,BARRANCA,BARRANCA,mayo,15,15 °C,20 °C
2021,BARRANCA,BARRANCA,mayo,22,16 °C,20 °C
2021,BARRANCA,BARRANCA,mayo,31,16 °C,20 °C
2021,BARRANCA,BARRANCA,junio,01,15 °C,19 °C
2021,BARRANCA,BARRANCA,junio,08,15 °C,20 °C
2021,BARRANCA,BARRANCA,junio,15,16 °C,21 °C
2021,BARRANCA,BARRANCA,junio,22,17 °C,20 °C
2021,BARRANCA,BARRANCA,junio,30,16 °C,19 °C
2021,BARRANCA,BARRANCA,julio,01,16 °C,20 °C
2021,BARRANCA,BARRANCA,julio,08,15 °C,20 °C
2021,BARRANCA,BARRANCA,julio,15,15 °C,18 °C
2021,BARRANCA,BARRANCA,julio,22,15 °C,19 °C
2021,BARRANCA,BARRANCA,julio,31,16 °C,19 °C
2021,BARRANCA,BARRANCA,agosto,01,15 °C,19 °C
2021,BARRANCA,BARRANCA,agosto,08,14 °C,17 °C
2021,BARRANCA,BARRANCA,agosto,15,15 °C,18 °C
2021,BARRANCA,BARRANCA,agosto,22,14 °C,20 °C
2021,BARRANCA,BARRANCA,agosto,31,15 °C,19 °C
2021,BARRANCA,BARRANCA,septiembre,01,15 °C,19 °C
2021,BARRANCA,BARRANCA,septiembre,08,14 °C,16 °C
2021,BARRANCA,BARRANCA,septiembre,15,16 °C,19 °C
2021,BARRANCA,BARRANCA,septiembre,22,15 °C,19 °C
2021,BARRANCA,BARRANCA,septiembre,30,16 °C,21 °C
2021,BARRANCA,BARRANCA,octubre,01,16 °C,20 °C
2021,BARRANCA,BARRANCA,octubre,08,15 °C,19 °C
2021,BARRANCA,BARRANCA,octubre,15,15 °C,19 °C
2021,BARRANCA,BARRANCA,octubre,22,14 °C,20 °C
2021,BARRANCA,BARRANCA,octubre,31,16 °C,21 °C
2021,BARRANCA,BARRANCA,noviembre,01,14 °C,20 °C
2021,BARRANCA,BARRANCA,noviembre,08,15 °C,20 °C
2021,BARRANCA,BARRANCA,noviembre,15,15 °C,20 °C
2021,BARRANCA,BARRANCA,noviembre,22,16 °C,19 °C
2021,BARRANCA,BARRANCA,noviembre,30,15 °C,20 °C
2021,BARRANCA,BARRANCA,diciembre,01,,21 °C
2021,BARRANCA,BARRANCA,diciembre,08,17 °C,21 °C
2021,BARRANCA,BARRANCA,diciembre,15,16 °C,20 °C
2021,BARRANCA,BARRANCA,diciembre,22,15 °C,22 °C
2021,BARRANCA,BARRANCA,diciembre,31,18 °C,23 °C
2022,BARRANCA,BARRANCA,enero,01,19 °C,23 °C
2022,BARRANCA,BARRANCA,enero,08,18 °C,23 °C
2022,BARRANCA,BARRANCA,enero,15,20 °C,24 °C
2022,BARRANCA,BARRANCA,enero,22,20 °C,24 °C
2022,BARRANCA,BARRANCA,enero,31,19 °C,24 °C
2022,BARRANCA,BARRANCA,febrero,01,19 °C,24 °C
2022,BARRANCA,BARRANCA,febrero,08,19 °C,24 °C
2022,BARRANCA,BARRANCA,febrero,15,20 °C,24 °C
2022,BARRANCA,BARRANCA,febrero,22,22 °C,25 °C
2022,BARRANCA,BARRANCA,febrero,28,19 °C,24 °C
2022,BARRANCA,BARRANCA,marzo,01,19 °C,25 °C
2022,BARRANCA,BARRANCA,marzo,08,21 °C,28 °C
2022,BARRANCA,BARRANCA,marzo,15,20 °C,27 °C
2022,BARRANCA,BARRANCA,marzo,22,20 °C,24 °C
2022,BARRANCA,BARRANCA,marzo,31,18 °C,25 °C
2022,BARRANCA,BARRANCA,abril,01,18 °C,24 °C
2022,BARRANCA,BARRANCA,abril,08,18 °C,22 °C
2022,BARRANCA,BARRANCA,abril,15,17 °C,21 °C
2022,BARRANCA,BARRANCA,abril,22,17 °C,22 °C
2022,BARRANCA,BARRANCA,abril,30,17 °C,22 °C
2022,BARRANCA,BARRANCA,mayo,01,16 °C,21 °C
2022,BARRANCA,BARRANCA,mayo,08,16 °C,20 °C
2022,BARRANCA,BARRANCA,mayo,15,15 °C,20 °C
2022,BARRANCA,BARRANCA,mayo,22,15 °C,20 °C
2022,BARRANCA,BARRANCA,mayo,31,14 °C,19 °C
2022,BARRANCA,BARRANCA,junio,01,15 °C,20 °C
2022,BARRANCA,BARRANCA,junio,08,14 °C,19 °C
2022,BARRANCA,BARRANCA,junio,15,12 °C,18 °C
2022,BARRANCA,BARRANCA,junio,22,14 °C,18 °C
2022,BARRANCA,BARRANCA,junio,30,14 °C,19 °C
2022,BARRANCA,BARRANCA,julio,01,13 °C,20 °C
2022,BARRANCA,BARRANCA,julio,08,13 °C,20 °C
2022,BARRANCA,BARRANCA,julio,15,14 °C,16 °C
2022,BARRANCA,BARRANCA,julio,22,13 °C,18 °C
2022,BARRANCA,BARRANCA,julio,31,13 °C,18 °C
2022,BARRANCA,BARRANCA,agosto,01,15 °C,18 °C
2022,BARRANCA,BARRANCA,agosto,08,14 °C,17 °C
2022,BARRANCA,BARRANCA,agosto,15,13 °C,19 °C
2022,BARRANCA,BARRANCA,agosto,22,14 °C,18 °C
2022,BARRANCA,BARRANCA,agosto,31,14 °C,18 °C
2022,BARRANCA,BARRANCA,septiembre,01,13 °C,18 °C
2022,BARRANCA,BARRANCA,septiembre,08,14 °C,17 °C
2022,BARRANCA,BARRANCA,septiembre,15,14 °C,19 °C
2022,BARRANCA,BARRANCA,septiembre,22,14 °C,18 °C
2022,BARRANCA,BARRANCA,septiembre,30,13 °C,18 °C
2022,BARRANCA,BARRANCA,octubre,01,13 °C,19 °C
2022,BARRANCA,BARRANCA,octubre,08,14 °C,19 °C
2022,BARRANCA,BARRANCA,octubre,15,13 °C,20 °C
2022,BARRANCA,BARRANCA,octubre,22,14 °C,19 °C
2022,BARRANCA,BARRANCA,octubre,31,14 °C,20 °C
2022,BARRANCA,BARRANCA,noviembre,01,14 °C,19 °C
2022,BARRANCA,BARRANCA,noviembre,08,15 °C,21 °C
2022,BARRANCA,BARRANCA,noviembre,15,14 °C,22 °C
2022,BARRANCA,BARRANCA,noviembre,22,15 °C,21 °C
2022,BARRANCA,BARRANCA,noviembre,30,17 °C,23 °C
2022,BARRANCA,BARRANCA,diciembre,01,17 °C,22 °C
2022,BARRANCA,BARRANCA,diciembre,08,17 °C,21 °C
2022,BARRANCA,BARRANCA,diciembre,15,19 °C,24 °C
2022,BARRANCA,BARRANCA,diciembre,22,19 °C,25 °C
2022,BARRANCA,BARRANCA,diciembre,31,18 °C,22 °C
2023,BARRANCA,BARRANCA,enero,01,19 °C,23 °C
2023,BARRANCA,BARRANCA,enero,08,18 °C,23 °C
2023,BARRANCA,BARRANCA,enero,15,18 °C,23 °C
2023,BARRANCA,BARRANCA,enero,22,20 °C,26 °C
2023,BARRANCA,BARRANCA,enero,31,20 °C,26 °C
2023,BARRANCA,BARRANCA,febrero,01,19 °C,26 °C
2023,BARRANCA,BARRANCA,febrero,08,20 °C,26 °C
2023,BARRANCA,BARRANCA,febrero,15,22 °C,26 °C
2023,BARRANCA,BARRANCA,febrero,22,22 °C,28 °C
2023,BARRANCA,BARRANCA,febrero,28,21 °C,27 °C
2023,BARRANCA,BARRANCA,marzo,01,20 °C,26 °C
2023,BARRANCA,BARRANCA,marzo,08,22 °C,28 °C
2023,BARRANCA,BARRANCA,marzo,15,21 °C,28 °C
2023,BARRANCA,BARRANCA,marzo,22,22 °C,28 °C
2023,BARRANCA,BARRANCA,marzo,31,23 °C,29 °C
2023,BARRANCA,BARRANCA,abril,01,23 °C,29 °C
2023,BARRANCA,BARRANCA,abril,08,23 °C,28 °C
2023,BARRANCA,BARRANCA,abril,15,22 °C,27 °C
2023,BARRANCA,BARRANCA,abril,22,23 °C,29 °C
2023,BARRANCA,BARRANCA,abril,30,22 °C,27 °C
2023,BARRANCA,BARRANCA,mayo,01,22 °C,26 °C
2023,BARRANCA,BARRANCA,mayo,08,20 °C,23 °C
2023,BARRANCA,BARRANCA,mayo,15,20 °C,24 °C
2023,BARRANCA,BARRANCA,mayo,22,20 °C,25 °C
2023,BARRANCA,BARRANCA,mayo,31,20 °C,25 °C
2023,BARRANCA,BARRANCA,junio,01,21 °C,24 °C
2023,BARRANCA,BARRANCA,junio,08,21 °C,24 °C
2023,BARRANCA,BARRANCA,junio,15,19 °C,24 °C
2023,BARRANCA,BARRANCA,junio,22,18 °C,22 °C
2023,BARRANCA,BARRANCA,junio,30,19 °C,23 °C
2023,BARRANCA,BARRANCA,julio,01,18 °C,22 °C
2023,BARRANCA,BARRANCA,julio,08,19 °C,23 °C
2023,BARRANCA,BARRANCA,julio,15,19 °C,23 °C
2023,BARRANCA,BARRANCA,julio,22,18 °C,24 °C
2023,BARRANCA,BARRANCA,julio,31,18 °C,23 °C
2023,BARRANCA,BARRANCA,agosto,01,17 °C,23 °C
2023,BARRANCA,BARRANCA,agosto,08,18 °C,24 °C
2023,BARRANCA,BARRANCA,agosto,15,19 °C,24 °C
2023,BARRANCA,BARRANCA,agosto,22,18 °C,22 °C
2023,BARRANCA,BARRANCA,agosto,31,19 °C,22 °C
2023,BARRANCA,BARRANCA,septiembre,01,18 °C,23 °C
2023,BARRANCA,BARRANCA,septiembre,08,17 °C,22 °C
2023,BARRANCA,BARRANCA,septiembre,15,16 °C,21 °C
2023,BARRANCA,BARRANCA,septiembre,22,18 °C,23 °C
2023,BARRANCA,BARRANCA,septiembre,30,17 °C,22 °C
2023,BARRANCA,BARRANCA,octubre,01,17 °C,22 °C
2023,BARRANCA,BARRANCA,octubre,08,17 °C,22 °C
2023,BARRANCA,BARRANCA,octubre,15,17 °C,22 °C
2023,BARRANCA,BARRANCA,octubre,22,17 °C,23 °C
2023,BARRANCA,BARRANCA,octubre,31,17 °C,22 °C
2023,BARRANCA,BARRANCA,noviembre,01,17 °C,22 °C
2023,BARRANCA,BARRANCA,noviembre,08,18 °C,22 °C
2023,BARRANCA,BARRANCA,noviembre,15,18 °C,24 °C
2023,BARRANCA,BARRANCA,noviembre,22,17 °C,22 °C
2023,BARRANCA,BARRANCA,noviembre,30,17 °C,23 °C
2023,BARRANCA,BARRANCA,diciembre,01,18 °C,26 °C
2023,BARRANCA,BARRANCA,diciembre,08,19 °C,24 °C
2023,BARRANCA,BARRANCA,diciembre,15,19 °C,25 °C
2023,BARRANCA,BARRANCA,diciembre,22,18 °C,24 °C
2023,BARRANCA,BARRANCA,diciembre,31,20 °C,27 °C
2024,BARRANCA,BARRANCA,enero,01,19 °C,24 °C
2024,BARRANCA,BARRANCA,enero,08,21 °C,26 °C
2024,BARRANCA,BARRANCA,enero,15,21 °C,27 °C
2024,BARRANCA,BARRANCA,enero,22,22 °C,27 °C
2024,BARRANCA,BARRANCA,enero,31,22 °C,29 °C
2024,BARRANCA,BARRANCA,febrero,01,23 °C,28 °C
2024,BARRANCA,BARRANCA,febrero,08,23 °C,28 °C
2024,BARRANCA,BARRANCA,febrero,15,23 °C,29 °C
2024,BARRANCA,BARRANCA,febrero,22,23 °C,29 °C
2024,BARRANCA,BARRANCA,febrero,29,22 °C,27 °C
2024,BARRANCA,BARRANCA,marzo,01,21 °C,26 °C
2024,BARRANCA,BARRANCA,marzo,08,23 °C,28 °C
2024,BARRANCA,BARRANCA,marzo,15,21 °C,28 °C
2024,BARRANCA,BARRANCA,marzo,22,21 °C,27 °C
2024,BARRANCA,BARRANCA,marzo,31,21 °C,27 °C
2020,HUAURA,HUAURA,enero,01,19 °C,25 °C
2020,HUAURA,HUAURA,enero,08,19 °C,26 °C
2020,HUAURA,HUAURA,enero,15,19 °C,25 °C
2020,HUAURA,HUAURA,enero,22,20 °C,25 °C
2020,HUAURA,HUAURA,enero,31,21 °C,27 °C
2020,HUAURA,HUAURA,febrero,01,21 °C,24 °C
2020,HUAURA,HUAURA,febrero,08,21 °C,26 °C
2020,HUAURA,HUAURA,febrero,15,21 °C,26 °C
2020,HUAURA,HUAURA,febrero,22,22 °C,26 °C
2020,HUAURA,HUAURA,febrero,29,22 °C,27 °C
2020,HUAURA,HUAURA,marzo,01,21 °C,25 °C
2020,HUAURA,HUAURA,marzo,08,22 °C,29 °C
2020,HUAURA,HUAURA,marzo,15,21 °C,27 °C
2020,HUAURA,HUAURA,marzo,22,21 °C,28 °C
2020,HUAURA,HUAURA,marzo,31,20 °C,26 °C
2020,HUAURA,HUAURA,abril,01,20 °C,27 °C
2020,HUAURA,HUAURA,abril,08,20 °C,26 °C
2020,HUAURA,HUAURA,abril,15,20 °C,27 °C
2020,HUAURA,HUAURA,abril,22,18 °C,24 °C
2020,HUAURA,HUAURA,abril,30,18 °C,26 °C
2020,HUAURA,HUAURA,mayo,01,19 °C,26 °C
2020,HUAURA,HUAURA,mayo,08,20 °C,26 °C
2020,HUAURA,HUAURA,mayo,15,19 °C,23 °C
2020,HUAURA,HUAURA,mayo,22,15 °C,22 °C
2020,HUAURA,HUAURA,mayo,31,17 °C,22 °C
2020,HUAURA,HUAURA,junio,01,17 °C,22 °C
2020,HUAURA,HUAURA,junio,08,16 °C,22 °C
2020,HUAURA,HUAURA,junio,15,15 °C,20 °C
2020,HUAURA,HUAURA,junio,22,15 °C,20 °C
2020,HUAURA,HUAURA,junio,30,14 °C,20 °C
2020,HUAURA,HUAURA,julio,01,14 °C,20 °C
2020,HUAURA,HUAURA,julio,08,15 °C,18 °C
2020,HUAURA,HUAURA,julio,15,,22 °C
2020,HUAURA,HUAURA,julio,22,14 °C,21 °C
2020,HUAURA,HUAURA,julio,31,14 °C,20 °C
2020,HUAURA,HUAURA,agosto,01,14 °C,21 °C
2020,HUAURA,HUAURA,agosto,08,15 °C,22 °C
2020,HUAURA,HUAURA,agosto,15,15 °C,19 °C
2020,HUAURA,HUAURA,agosto,22,14 °C,20 °C
2020,HUAURA,HUAURA,agosto,31,15 °C,20 °C
2020,HUAURA,HUAURA,septiembre,01,,18 °C
2020,HUAURA,HUAURA,septiembre,08,16 °C,21 °C
2020,HUAURA,HUAURA,septiembre,15,16 °C,21 °C
2020,HUAURA,HUAURA,septiembre,22,16 °C,22 °C
2020,HUAURA,HUAURA,septiembre,30,16 °C,23 °C
2020,HUAURA,HUAURA,octubre,01,15 °C,23 °C
2020,HUAURA,HUAURA,octubre,08,16 °C,24 °C
2020,HUAURA,HUAURA,octubre,15,17 °C,24 °C
2020,HUAURA,HUAURA,octubre,22,17 °C,23 °C
2020,HUAURA,HUAURA,octubre,31,15 °C,21 °C
2020,HUAURA,HUAURA,noviembre,01,16 °C,21 °C
2020,HUAURA,HUAURA,noviembre,08,14 °C,21 °C
2020,HUAURA,HUAURA,noviembre,15,15 °C,22 °C
2020,HUAURA,HUAURA,noviembre,22,16 °C,22 °C
2020,HUAURA,HUAURA,noviembre,30,17 °C,24 °C
2020,HUAURA,HUAURA,diciembre,01,18 °C,24 °C
2020,HUAURA,HUAURA,diciembre,08,17 °C,21 °C
2020,HUAURA,HUAURA,diciembre,15,17 °C,24 °C
2020,HUAURA,HUAURA,diciembre,22,18 °C,24 °C
2020,HUAURA,HUAURA,diciembre,31,18 °C,24 °C
2021,HUAURA,HUAURA,enero,01,17 °C,25 °C
2021,HUAURA,HUAURA,enero,08,19 °C,24 °C
2021,HUAURA,HUAURA,enero,15,18 °C,24 °C
2021,HUAURA,HUAURA,enero,22,19 °C,25 °C
2021,HUAURA,HUAURA,enero,31,19 °C,27 °C
2021,HUAURA,HUAURA,febrero,01,19 °C,24 °C
2021,HUAURA,HUAURA,febrero,08,21 °C,27 °C
2021,HUAURA,HUAURA,febrero,15,20 °C,28 °C
2021,HUAURA,HUAURA,febrero,22,19 °C,26 °C
2021,HUAURA,HUAURA,febrero,28,20 °C,28 °C
2021,HUAURA,HUAURA,marzo,01,21 °C,29 °C
2021,HUAURA,HUAURA,marzo,08,21 °C,29 °C
2021,HUAURA,HUAURA,marzo,15,21 °C,28 °C
2021,HUAURA,HUAURA,marzo,22,22 °C,28 °C
